Change,Country,Location,Name,NameWoDiacritics,Subdivision,Status,Function,Date,IATA,Coordinates,Remarks
,AO,LAA,Landana (Cacongo),Landana (Cacongo),,RL,1-------,0103,,,
,AO,LIE,Lieura,Lieura,,QQ,1-------,8103,,,
,AO,LOB,Lobito,Lobito,,RL,1---5---,0103,,,
,AO,LBT,Lombo Terminal,Lombo Terminal,,RQ,1-------,0901,,0659S 01221E,
,AO,LAD,Luanda,Luanda,,AI,1--45---,9601,,,
,AO,UAL,Luau,Luau,,AI,---4----,9912,,,
,AO,SDD,Lubango,Lubango,,AI,---4----,9912,,,
,AO,LUC,Lucira,Lucira,,RL,1-3-----,0103,,,
,AO,LUO,Luena,Luena,,AI,---4----,9912,,,
,AO,LBZ,Lukapa,Lukapa,,AI,---4----,9912,,,
,AO,GGC,Lumbala,Lumbala,,AI,---4----,9912,,,
,AO,LZM,Luzamba,Luzamba,,AI,---4----,9912,,,
,AO,MEG,Malange,Malange,,AI,---4----,9601,,,
,AO,MLO,Malembo,Malembo,,RL,--3-----,9811,,,
,AO,MAL,Malongo,Malongo,,RQ,0-------,9012,,,
,AO,MDZ,Maquela Do Zombo,Maquela Do Zombo,UIG,RL,--3-----,1601,,0604S 01506E,
,AO,MTL,Matala,Matala,HUI,RL,--3-----,1601,,1444S 01502E,
,AO,SSY,M'banza Congo,M'banza Congo,,AI,---4----,9912,,,
,AO,SPP,Menongue,Menongue,,AI,---4----,9912,,,
,AO,MOS,Mocamedes,Mocamedes,,RQ,--3-----,0901,,1510S 01209E,
,AO,MSZ,Namibe,Namibe,,AI,1--4----,9506,,,
,AO,NDF,N'dalatando,N'dalatando,CNO,AI,---4----,0212,,0918S 01455E,
,AO,GXG,Negage,Negage,,AI,---4----,9912,,,
,AO,NQI,Nóqui,Noqui,,RL,123-----,0901,,0551S 01326E,
,AO,NRQ,N'Riquinha,N'Riquinha,,AI,---4----,9912,,,
,AO,NZA,Nzagi,Nzagi,,AI,---4----,9912,,,
,AO,ARZ,N'Zeto,N'Zeto,,AI,---4----,9912,,,
,AO,NTO,N'Zeto (Ambrizete),N'Zeto (Ambrizete),,RQ,1-------,0901,,0716S 01251E,
,AO,NGV,Ondjiva,Ondjiva,CNN,AI,---4----,0212,,1704S 01544E,
,AO,VPE,Ongiva,Ongiva,,AI,---4----,9912,,,
,AO,PAT,Palanca Terminal,Palanca Terminal,,RQ,1-------,9506,,,
,AO,PAZ,Pazflor FPSO,Pazflor FPSO,,RL,------7-,1107,,0821S 01206E,
,AO,PLE,Porto Alexandre (Tombua),Porto Alexandre (Tombua),,RL,1-3-----,0103,,,
,AO,PBN,Porto Amboim,Porto Amboim,,AI,1-------,9601,,,
,AO,PSA,Porto Saco (Portosalazar),Porto Saco (Portosalazar),,RQ,1-------,0901,,1508S 01208E,
,AO,RSN,River Sao Nicolau,River Sao Nicolau,,RQ,1-------,0901,,1415S 01220E,
,AO,STC,Santa Clara,Santa Clara,UIG,RL,--3--6--,1107,,0722S 01444E,
,AO,VHC,Saurimo,Saurimo,,AI,---4----,9912,,,
,AO,SBT,Saxi Batuque FPSO,Saxi Batuque FPSO,,RL,------7-,1201,,0619S 01113E,
,AO,STL,Sazaire Terminal,Sazaire Terminal,,RQ,1-------,0901,,0605S 01223E,
,AO,SZA,Soyo,Soyo,,AI,1--4----,9912,,,
,AO,SOQ,Soyo-Quinfuquena Terminal,Soyo-Quinfuquena Terminal,,RQ,1-------,9506,,,
